daily_screen_time,num_app_switches,sleep_hours,notification_count,social_media_time_min,focus_score,mood_score,anxiety_level,digital_wellbeing_score,dopamine_index,focus_efficiency,sleep_deficit,cluster,cluster_label
9.8,74,7.1,27,185.52,72.48,75.53,10.0,26.46,286.52,7.395918366592253,0.9000000000000004,3,Balanced Users
8.85,70,6.33,31,181.5,72.7,76.49,10.0,23.98,282.5,8.214689264608511,1.67,3,Balanced Users
7.12,57,7.28,23,125.73,71.34,77.75,10.0,30.33,205.73000000000002,10.019662919941059,0.7199999999999998,1,Healthy & Focused
5.71,48,8.33,31,110.59,83.59,82.07,10.0,40.97,189.59,14.639229419502762,-0.33000000000000007,1,Healthy & Focused
8.4,60,6.22,26,119.52,79.31,79.38,10.0,31.82,205.51999999999998,9.441666665542659,1.7800000000000002,0,High-Screen Low-Sleep
7.79,65,6.22,27,169.93,70.49,83.79,10.0,29.72,261.93,9.048780486643288,1.7800000000000002,0,High-Screen Low-Sleep
8.79,56,8.4,39,184.63,84.45,82.11,10.0,35.41,279.63,9.607508531330206,-0.40000000000000036,1,Healthy & Focused
8.27,63,7.42,22,149.16,80.74,74.43,10.0,35.49,234.16,9.762998789629625,0.5800000000000001,1,Healthy & Focused
9.1,70,5.94,47,210.86,70.0,84.06,10.0,23.62,327.86,7.692307691462384,2.0599999999999996,3,Balanced Users
5.93,50,7.15,28,152.65,81.74,77.57,10.0,36.77,230.65,13.784148395651913,0.8499999999999996,1,Healthy & Focused
7.4,52,5.94,33,132.42,80.76,81.91,10.0,30.22,217.42,10.913513512038714,2.0599999999999996,0,High-Screen Low-Sleep
5.62,45,4.2,10,89.86,75.98,82.38,10.0,25.99,144.86,13.519572951331037,3.8,0,High-Screen Low-Sleep
10.47,83,4.43,46,244.79,68.3,77.18,10.0,15.25,373.78999999999996,6.5234001903989105,3.5700000000000003,3,Balanced Users
5.7,43,5.28,14,111.7,68.65,89.6,10.0,27.25,168.7,12.04385964700985,2.7199999999999998,0,High-Screen Low-Sleep
6.03,51,6.88,0,66.56,91.9,83.62,10.0,35.46,117.56,15.240464342414517,1.12,2,Anxious Overloaded
6.36,48,5.41,28,152.61,78.88,77.54,10.0,33.72,228.61,12.402515721320357,2.59,0,High-Screen Low-Sleep
7.85,62,4.81,28,127.64,75.9,82.3,10.0,27.29,217.64,9.668789807685506,3.1900000000000004,0,High-Screen Low-Sleep
8.05,75,8.26,40,170.76,80.14,84.92,10.0,28.22,285.76,9.955279501868908,-0.2599999999999998,1,Healthy & Focused
